ID,fileName,startFrame,endFrame
17-3,17_D3_S3_001,8159.07616,8605.80964
17-3,17_D3_S3_001,8605.80964,9384.4384
17-3,17_D3_S3_001,9384.4384,10091.13544
17-3,17_D3_S3_001,10091.13544,10679.20828
17-3,17_D3_S3_001,10679.20828,11495.69572
17-3,17_D3_S3_001,11495.69572,11797.30396
18,18_D2_D2,718.44516,1364.19852
18,18_D2_D2,1364.19852,2219.3856
18,18_D2_D2,2219.3856,2960.33616
18,18_D2_D2,2960.33616,3817.10976
18,18_D2_D2,3817.10976,4757.9742
18,18_D2_D2,4757.9742,5613.16128
18,18_D2_D2,5613.16128,6304.9266
18,18_D2_D2,6304.9266,7020.49128
18,18_D2_D2,7020.49128,7655.1384
18,18_D2_D2,7655.1384,8432.5812
18,18_D2_D2,8432.5812,9314.7408
18,18_D2_D2,9314.7408,10133.43564
18,18_D2_D2,10133.43564,10780.77564
18,18_D2_D2,10780.77564,11605.81692
18,18_D2_D2,11605.81692,12465.7638
18,18_D2_D2,12465.7638,13230.51372
18,18_D2_D2,13230.51372,14114.25984
18,18_D2_D2,14114.25984,14729.86752
19,19_I3_D3,833.23192,1486.48696
19,19_I3_D3,1486.48696,2361.92476
19,19_I3_D3,2361.92476,3250.65544
19,19_I3_D3,3250.65544,4186.86112
19,19_I3_D3,4186.86112,5153.45068
19,19_I3_D3,5153.45068,6053.57536
19,19_I3_D3,6053.57536,6938.50804
19,19_I3_D3,6938.50804,7954.4716
19,19_I3_D3,7954.4716,8772.9394
19,19_I3_D3,11129.59504,12255.70036
19,19_I3_D3,12255.70036,13218.49192
19,19_I3_D3,13218.49192,14302.81936
19,19_I3_D3,14302.81936,15250.41904
19,19_I3_D3,16218.9076,17130.42628
19,19_I3_D3,17130.42628,17855.8432
1,1_N2_N2,1228.9646,1504.37744
1,1_N2_N2,1504.37744,1800.19124
1,1_N2_N2,1800.19124,2203.10996
1,1_N2_N2,2203.10996,2514.22436
1,1_N2_N2,2514.22436,2858.49044
1,1_N2_N2,2858.49044,3243.55832
1,1_N2_N2,3243.55832,3580.17392
1,1_N2_N2,3580.17392,3962.69168
1,1_N2_N2,3962.69168,4179.45176
1,1_N2_N2,4179.45176,4480.3658
1,1_N2_N2,4480.3658,4768.52912
1,1_N2_N2,4768.52912,5184.19844
1,1_N2_N2,5184.19844,5513.1638
1,1_N2_N2,5513.1638,5865.08012
1,1_N2_N2,5865.08012,6066.53948
1,1_N2_N2,6066.53948,6482.2088
1,1_N2_N2,6482.2088,6803.5238
1,1_N2_N2,6803.5238,7132.48904
2-2,2_N3_N3_000,1006.6684,1292.80984
2-2,2_N3_N3_000,1292.80984,1610.32648
2-2,2_N3_N3_000,1610.32648,1853.7976
2-2,2_N3_N3_000,1853.7976,2149.97908
2-2,2_N3_N3_000,2149.97908,2549.07112
2-2,2_N3_N3_000,2549.07112,2886.66772
2-2,2_N3_N3_000,2886.66772,3169.04416
2-2,2_N3_N3_000,3169.04416,3482.79568
2-2,2_N3_N3_000,3482.79568,3731.28688
2-2,2_N3_N3_000,3731.28688,4053.82348
2-2,2_N3_N3_000,4053.82348,4378.87012
2-2,2_N3_N3_000,4378.87012,4776.70708
2-2,2_N3_N3_000,4776.70708,4980.01816
2-2,2_N3_N3_000,4980.01816,5345.22496
